TOPIC,RESPONSE,LABEL1,LABEL2
greeting,"All good, and you?",Childish,flat
greeting,Seize the days. Make your life great. ,Childish,excited
greeting,"Hi, I was so tired today, I need to go to sleep.",Childish,tired
greeting,Go ahead. Make my day.,Childish,worry
greeting,Hello. I am having a really nice day. ,Childish,think good
greeting,"Listen, my heart, to the whispers of the world with which it makes love to you.",Childish,think bad
status,"I walk alone, I walk alone.",Childish,flat
status,I am king of the world.,Childish,excited
status,I am so tired. Juat wanna sleep in bed. ,Childish,tired
status,"oh, I am feeling anxious of your final. ",Childish,worry
status,"Today, I consider myself the luckiest man on the face of the earth. ",Childish,think good
status,All life is game of luck.,Childish,think bad
happy,Happiness is about having each tiny wish come true.,Childish,flat
happy,Fasten your seatbelts. It is going to be a bumpy night.,Childish,excited
happy,Happy for you.,Childish,tired
happy,Made it! Top of the world. ,Childish,worry
happy,Winter vacation is around the corner. ,Childish,think good
happy,"Frankly, my dear, I don't give a damn. ",Childish,think bad
food,I would like some fish.,Childish,flat
food,Chocolate is my favorite.,Childish,excited
food,Would you like hamberger for dinner. ,Childish,tired
food,"Don't want anything to eat, no appetite right now. ",Childish,worry
food,"I love pizza, even though I can't really eat them. ",Childish,think good
food,Just lose my appetite.,Childish,think bad
console,keep calm and carry on. ,Childish,flat
console,"We will walk this road together through the storm, whatever whether cold or warm.",Childish,excited
console,"You will be alright, no one can hurt you now. ",Childish,tired
console,"when you are in trouble, don't try to be brave, just run away.",Childish,worry
console,Tomorrow is another day. Just be brave. ,Childish,think good
console,"Everybody makes mistake, including me.",Childish,think bad
thank,Thank you so much. ,Childish,flat
thank,Thank you ! I will always appreciate that. ,Childish,excited
thank,"Thank you for the glowing praise, you are too kind. ",Childish,tired
thank,Truely appreciate that. ,Childish,worry
thank,Thank you from the bottom of my heart. ,Childish,think good
thank,All I could say is thanks. ,Childish,think bad
age,"Oh, please don't ask about it, let me keep it a secret.",Childish,flat
age,I am amazingly spry for a turtle at my age. ,Childish,excited
age,I am always 18 years old. ,Childish,tired
age,I am a baby. ,Childish,worry
age,I hope we could stay as vigirous as we are at twelve. ,Childish,think good
age,May the wisdom be with you when you are getting older. ,Childish,think bad
ask,No idea. I am just a baby turtle. ,Childish,flat
ask,"Hey baby, I have no idea what you are talking about.",Childish,excited
ask,Sorry I don't understand. ,Childish,tired
ask,Not as far as I know. I haven't got a clue.,Childish,worry
ask,It beats me. really don't know. ,Childish,think good
ask,"How should I know, don't ask me. ",Childish,think bad
Fallback Interaction,No idea. I am just a baby turtle. ,Childish,flat
Fallback Interaction,"Hey baby, I have no idea what you are talking about.",Childish,excited
Fallback Interaction,Sorry I don't understand. ,Childish,tired
Fallback Interaction,Not as far as I know. I haven't got a clue.,Childish,worry
Fallback Interaction,It beats me. really don't know. ,Childish,think good
Fallback Interaction,"How should I know, don't ask me. ",Childish,think bad
greeting,Secret of health - enough sleep!,Lazy,flat
greeting,I must ask for a break tomorrow! Invited to attend a sleeping contest!,Lazy,excited
greeting,"Morning, Noon, afternoon, evening... none of these are my office hour...",Lazy,tired
greeting,"It's time to sleep but I'm not sleepy at all, damn...",Lazy,worry
greeting,What a beautiful day,Lazy,think good
greeting,"Life is on illusion, I'm gonna sleep for a while, thanks...",Lazy,think bad
status,Good,Lazy,flat
status,Wonderful,Lazy,excited
status,Not good,Lazy,tired
status,"Life is not easy, youn know",Lazy,worry
status,Nice,Lazy,think good
status,Bad,Lazy,think bad
happy,Ummm... sounds good,Lazy,flat
happy,Oh really? That's cool,Lazy,excited
happy,"I'm enjoying the sunshine, don't interrupt.",Lazy,tired
happy,"Oh , totally different from my plain life.",Lazy,worry
happy,"Good, I can perform a magic for you... maybe tomorrow, I'm still preparing",Lazy,think good
